Glasses in my eyes;Meaning: Beauty is in the eye of the beholder,c81c 0020 b208 c5d0 0020 c548 acbd c774 b2e4,je nun-e angyeong-ida
If you eat a pheasant, you also eat the egg;Meaning: Kill 2 birds with 1 stone,afe9 0020 ba39 ace0 0020 c54c 0020 ba39 b294 b2e4,kkwong meoggo al meogneunda
Rome wasn’t made in one morning;Meaning: Rome wasn’t built in a day,b85c b9c8 b294 0020 d558 b8e8 c544 ce68 c5d0 0020 c774 b8e8 c5b4 c9c4 0020 ac83 c774 0020 c544 b2c8 b2e4,romaneun haluachim-e ilueojin geos-i anida
Good looking ddeok (rice cake) tastes good;Meaning: What looks good tastes good,bcf4 ae30 0020 c88b c740 0020 b5a1 c774 0020 ba39 ae30 b3c4 0020 c88b b2e4,bogi joh-eun tteog-i meoggido johda
A widower knows a widow’s sorrow;Meaning: Misery loves company,acfc bd80 0020 c124 c6c0 c740 0020 d640 c544 be44 ac00 0020 c548 b2e4,gwabu seol-um-eun hol-abiga anda
Birds hear the words spoken in the day, and mice hear the words spoken at night;Meaning: The walls have ears,b0ae b9d0 c740 0020 c0c8 ac00 0020 b4e3 ace0 0020 bc24 b9d0 c740 0020 c950 ac00 0020 b4e3 b294 b2e4,najmal-eun saega deudgo bammal-eun jwiga deudneunda
If it becomes distant from your eyes, it also becomes distant from your mind (heart);Meaning: Out of sight, out of mind,b208 c5d0 c11c 0020 ba40 c5b4 c9c0 ba74 002c 0020 b9c8 c74c c5d0 c11c b3c4 0020 ba40 c5b4 c9c4 b2e4,nun-eseo meol-eojimyeon, ma-eum-eseodo meol-eojinda
You can lead a horse and go to a stream but you can’t make it drink water through its own will;Meaning: You can lead a horse to water, but you can’t make him drink,b9d0 c744 0020 b0c7 ac00 c5d0 0020 b04c ace0 0020 ac08 0020 c218 b294 0020 c788 c5b4 b3c4 0020 c5b5 c9c0 b85c 0020 bb3c c744 0020 ba39 c77c 0020 c218 b294 0020 c5c6 b2e4,mal-eul naesga-e kkeulgo gal suneun iss-eodo eogjilo mul-eul meog-il suneun eobsda
 If you lift together, it’s better – even if it’s a sheet of paper;Meaning: Two heads are better than one,bc31 c9c0 c7a5 b3c4 0020 b9de b4e4 ba74 0020 b0ab b2e4,baegjijangdo majdeulmyeon nasda
If you are hard up for something, it will open up;Meaning: There is always a way out,ad81 d558 ba74 0020 d1b5 d55c b2e4,gunghamyeon tonghanda
In the place there is a will, there is a way;Meaning: Where there’s a will, there’s a way,b73b c774 0020 c788 b294 0020 acf3 c5d0 0020 ae38 c774 0020 c788 b2e4,tteus-i issneun gos-e gil-i issda
It is spilt water;Meaning: There is no use in crying over spilt milk,c5ce c9c8 b7ec c9c4 0020 bb3c c774 b2e4,eopjilleojin mul-ida
It is like a blind man touching an elephant.;Meaning: It is like a blind man describing an elephant,c7a5 b2d8 c774 0020 cf54 b07c b9ac 0020 b9cc c9c0 b294 0020 aca9 c774 b2e4,jangnim-i kokkili manjineun gyeog-ida
Don’t spread ashes on cooked rice;Meaning: Don’t rain on someone’s parade,b2e4 0020 b41c 0020 bc25 c5d0 0020 c7ac 0020 bfcc b9ac c9c0 0020 b9c8 b77c,da doen bab-e jae ppuliji mala
Laughter is the best healer;Meaning: Laughter is the best medicine,c6c3 c74c c740 0020 cd5c ace0 c758 0020 ba85 c57d c774 b2e4,us-eum-eun choegoui myeong-yag-ida
